sender,lrp,receiver
0,90,3
0,90,4
0,90,5
0,91,0
0,91,1
0,91,2
0,91,4
0,91,5
0,92,0
0,92,1
0,92,2
0,92,3
0,92,4
0,92,5
0,92,6
0,93,0
0,93,1
0,93,2
0,94,0
0,94,1
0,94,2
0,94,3
0,94,4
0,94,5
0,95,0
0,95,1
0,95,2
0,95,3
0,95,4
0,95,5
0,96,0
0,96,1
0,96,2
0,96,3
0,96,4
0,96,5
0,96,6
0,97,0
0,97,1
0,97,2
0,97,3
0,97,5
0,98,0
0,98,1
0,98,2
0,98,3
0,98,4
0,98,5
0,98,6
0,99,0
0,99,1
0,99,2
0,99,3
0,99,4
0,99,5
0,99,6
0,103,0
0,103,1
0,103,2
0,103,3
0,103,4
0,103,5
0,103,6
0,104,0
0,104,1
0,104,2
0,104,3
0,104,4
0,104,6
0,105,0
0,105,1
0,105,2
0,105,3
0,105,4
0,105,5
0,105,6
0,106,0
0,106,1
0,106,2
0,106,3
0,106,4
0,106,5
0,106,6
0,107,0
0,107,1
0,107,2
0,107,3
0,107,4
0,107,5
0,107,6
0,108,0
0,108,1
0,108,2
0,108,4
0,109,0
0,109,1
0,109,2
0,109,3
0,109,4
0,109,5
0,109,6
0,110,0
0,110,1
0,110,2
0,110,5
0,111,0
0,111,1
0,111,2
0,111,3
0,111,4
0,111,5
0,111,6
0,112,0
0,112,1
0,112,2
0,112,3
0,112,4
0,112,5
0,112,6
0,113,0
0,113,1
0,113,2
0,113,4
0,113,5
0,114,0
0,114,1
0,114,2
0,114,3
0,114,4
0,114,5
0,114,6
0,115,0
0,115,1
0,115,2
0,115,3
0,115,4
0,115,5
0,116,0
0,116,1
0,116,2
0,116,3
0,116,4
0,116,5
0,116,6
0,117,0
0,117,1
0,117,2
0,117,3
0,117,4
0,117,5
0,117,6
0,118,0
0,118,1
0,118,2
0,118,3
0,118,4
0,118,5
0,118,6
0,119,0
0,119,1
0,119,2
0,119,3
0,119,4
0,119,5
0,120,0
0,120,1
0,120,2
0,120,3
0,120,4
0,120,5
0,120,6
0,121,0
0,121,1
0,121,2
0,121,3
0,121,4
0,121,5
0,121,6
0,122,0
0,122,1
0,122,2
0,122,3
0,122,4
0,122,5
0,122,6
0,123,0
0,123,1
0,123,2
0,123,3
0,123,4
0,123,5
0,123,6
0,124,0
0,124,1
0,124,2
0,124,3
0,124,4
0,124,5
0,124,6
0,125,0
0,125,1
0,125,2
0,125,3
0,125,4
0,125,5
0,125,6
0,126,0
0,126,1
0,126,2
0,127,0
0,127,1
0,127,2
0,127,3
0,127,4
0,127,5
0,128,0
0,128,1
0,128,2
0,128,3
0,128,4
0,128,5
0,128,6
0,129,0
0,129,1
0,129,2
0,129,3
0,129,4
0,129,5
0,130,0
0,130,1
0,130,2
0,130,3
0,130,4
0,130,5
0,130,6
0,131,0
0,131,1
0,131,2
0,131,3
0,131,4
0,131,5
0,131,6
0,132,0
0,132,1
0,132,2
0,132,4
0,132,5
0,132,6
0,133,0
0,133,1
0,133,2
0,133,3
0,133,4
0,134,0
0,134,1
0,134,2
0,134,3
0,135,0
0,135,1
0,135,2
0,135,3
0,135,4
0,136,0
0,136,1
0,136,2
0,136,3
0,136,5
0,136,6
0,137,0
0,137,1
0,137,2
0,137,3
0,137,4
0,138,0
0,138,1
0,138,2
0,138,4
0,138,5
0,139,0
0,139,1
0,139,2
0,139,3
0,139,4
0,139,5
0,139,6
0,140,0
0,140,1
0,140,2
0,140,3
0,140,4
0,140,5
0,141,0
0,141,1
0,141,2
0,141,3
0,141,4
0,141,5
0,141,6
0,142,0
0,142,1
0,142,2
0,142,3
0,142,4
0,142,5
0,142,6
0,143,0
0,143,1
0,143,2
0,143,3
0,143,4
0,143,5
0,144,0
0,144,1
0,144,2
0,144,3
0,144,4
0,144,5
0,144,6
0,145,0
0,145,1
0,145,2
0,145,3
0,145,4
0,145,5
0,145,6
0,146,0
0,146,1
0,146,2
0,146,3
0,146,4
0,146,5
0,147,0
0,147,1
0,147,2
0,147,3
0,147,4
0,147,5
0,147,6
0,148,0
0,148,1
0,148,3
0,149,0
0,149,1
0,149,2
0,149,3
0,149,4
0,149,5
0,149,6
0,150,0
0,150,1
0,150,2
0,150,3
0,150,5
0,150,6
0,151,0
0,151,1
0,151,2
0,151,3
0,151,4
0,151,5
0,151,6
0,152,0
0,152,1
0,152,2
0,152,3
0,152,4
0,152,5
0,152,6
0,153,0
0,153,1
0,153,2
0,153,3
0,153,4
0,153,5
0,154,0
0,154,1
0,154,2
0,154,4
0,154,5
0,154,6
0,155,0
0,155,1
0,155,2
0,155,3
0,155,4
0,155,5
0,155,6
0,156,0
0,156,1
0,156,5
0,157,0
0,157,1
0,157,2
0,157,3
0,157,4
0,157,5
0,158,1
0,158,2
0,159,0
0,159,1
0,159,2
0,159,3
0,159,4
0,159,5
0,159,6
0,160,0
0,160,1
0,160,2
0,160,3
0,160,4
0,160,5
0,160,6
0,161,0
0,161,1
0,161,2
0,161,3
0,161,4
0,161,5
0,161,6
0,162,0
0,162,1
0,162,2
0,162,3
0,162,4
0,162,5
0,162,6
0,163,0
0,163,1
0,163,2
0,163,3
0,163,4
0,163,5
0,163,6
0,164,0
0,164,1
0,164,2
0,164,3
0,164,4
0,164,5
0,164,6
0,165,0
0,165,1
0,165,2
0,165,3
0,165,4
0,165,5
0,165,6
0,166,0
0,166,1
0,166,2
0,166,3
0,166,5
0,167,0
0,167,1
0,167,2
0,167,3
0,167,4
0,167,5
0,167,6
0,168,0
0,168,1
0,168,2
0,168,3
0,168,4
0,168,5
0,168,6
0,169,0
0,169,1
0,169,2
0,169,3
0,169,5
0,170,0
0,170,1
0,170,2
0,170,3
0,170,4
0,170,5
0,170,6
0,171,0
0,171,1
0,171,2
0,171,3
0,171,5
0,172,0
0,172,1
0,172,5
0,173,0
0,173,1
0,173,2
0,173,3
0,173,4
0,173,5
0,173,6
0,174,0
0,174,1
0,174,2
0,175,0
0,175,1
0,175,2
0,175,3
0,175,4
0,175,5
0,176,0
0,176,1
0,176,2
0,177,0
0,177,1
0,177,2
0,178,0
0,178,1
0,178,2
0,178,3
0,178,4
0,178,5
0,178,6
0,179,0
0,179,1
0,179,2
0,179,3
0,179,4
0,179,5
0,180,0
0,180,1
0,180,2
0,180,3
0,180,5
0,180,6
0,181,0
0,181,1
0,181,2
0,181,3
0,181,4
0,181,5
0,181,6
0,182,0
0,182,1
0,182,2
0,182,3
0,182,4
0,182,5
0,182,6
0,183,0
0,183,1
0,183,2
0,183,3
0,183,4
0,183,5
0,183,6
0,184,0
0,184,1
0,184,2
0,184,3
0,184,4
0,184,5
0,185,0
0,185,1
0,185,2
0,185,3
0,185,4
0,185,5
0,185,6
0,186,0
0,186,1
0,186,2
0,186,3
0,186,4
0,186,5
0,187,0
0,187,1
0,187,2
0,187,3
0,187,4
0,187,5
0,188,0
0,188,1
0,188,2
0,188,3
0,188,4
0,188,5
0,188,6
0,189,0
0,189,1
0,189,2
0,189,3
0,189,4
0,189,5
0,190,0
0,190,1
0,190,2
0,190,3
0,190,4
0,190,5
0,190,6
0,191,0
0,191,1
0,191,2
0,191,3
0,191,4
0,192,0
0,192,1
0,192,2
0,192,3
0,192,5
0,192,6
0,193,0
0,193,1
0,193,2
0,193,3
0,194,0
0,194,1
0,194,2
0,194,3
0,194,4
0,195,0
0,195,1
0,195,2
0,195,3
0,195,4
0,195,5
0,195,6
0,196,0
0,196,1
0,196,2
0,196,4
0,196,5
0,197,0
0,197,1
0,197,2
0,197,4
0,197,5
0,197,6
0,198,0
0,198,1
0,198,2
0,198,3
0,198,4
0,198,5
0,198,6
0,199,0
0,199,1
0,199,2
0,199,3
0,199,4
0,199,5
0,200,0
0,200,1
0,200,2
0,200,3
0,200,4
0,200,5
0,200,6
0,202,0
0,202,1
0,202,2
0,202,3
0,202,5
0,203,0
0,203,1
0,203,2
0,203,3
0,203,4
0,203,5
0,203,6
0,204,0
0,204,1
0,204,2
0,204,3
0,204,4
0,204,5
0,204,6
0,205,0
0,205,1
0,205,2
0,205,4
0,205,5
0,206,0
0,206,1
0,206,2
0,206,3
0,206,4
0,206,5
0,207,0
0,207,1
0,207,2
0,207,3
0,207,4
0,207,5
0,207,6
0,208,0
0,208,1
0,208,2
0,208,3
0,208,4
0,208,5
0,208,6
0,209,0
0,209,1
0,209,2
0,209,4
0,209,5
0,210,0
0,210,1
0,210,2
0,210,3
0,210,4
0,210,5
0,211,0
0,211,1
0,211,2
0,211,3
0,211,4
0,211,5
0,211,6
0,212,0
0,212,1
0,212,2
0,212,3
0,212,4
0,212,5
0,213,0
0,213,1
0,213,2
0,213,3
0,213,4
0,213,5
0,214,0
0,214,1
0,214,2
0,214,4
0,214,5
0,215,0
0,215,1
0,215,2
0,215,3
0,215,4
0,215,5
0,215,6
0,216,0
0,216,1
0,216,2
0,216,3
0,216,4
0,216,5
0,217,0
0,217,1
0,217,2
0,217,3
0,217,4
0,217,5
0,218,0
0,218,1
0,218,2
0,218,3
0,218,4
0,218,5
0,218,6
0,219,0
0,219,1
0,219,2
0,219,3
0,219,4
0,219,5
0,220,0
0,220,1
0,220,2
0,220,3
0,220,4
0,220,5
0,221,0
0,221,1
0,221,2
0,221,3
0,221,4
0,221,5
0,222,0
0,222,1
0,222,2
0,222,4
0,222,5
0,223,0
0,223,1
0,223,2
0,223,4
0,224,0
0,224,1
0,224,2
0,224,3
0,224,4
0,224,5
0,225,0
0,225,1
0,225,2
0,225,3
0,225,4
0,225,5
0,226,0
0,226,1
0,226,2
0,226,3
0,226,4
0,226,5
0,226,6
0,227,0
0,227,1
0,227,2
0,227,3
0,227,4
0,227,5
0,227,6
0,228,0
0,228,1
0,228,2
0,228,3
0,228,4
0,228,5
0,228,6
0,229,0
0,229,1
0,229,2
0,229,3
0,229,4
0,229,5
0,229,6
0,230,0
0,230,1
0,230,2
0,230,3
0,230,4
0,230,5
0,230,6
0,231,0
0,231,1
0,231,2
0,231,3
0,231,4
0,231,5
0,231,6
0,232,0
0,232,1
0,232,2
0,232,3
0,232,4
0,232,5
0,232,6
0,233,0
0,233,1
0,233,2
0,233,3
0,233,4
0,233,5
0,234,0
0,234,1
0,234,2
0,234,3
0,234,4
0,234,5
0,234,6
0,235,0
0,235,1
0,235,2
0,235,3
0,235,4
0,235,5
0,235,6
0,236,0
0,236,1
0,236,2
0,236,3
0,236,4
0,236,5
0,236,6
0,237,0
0,237,1
0,237,2
0,237,3
0,237,4
0,237,5
0,237,6
0,238,0
0,238,1
0,238,2
0,238,3
0,238,4
0,238,5
0,238,6
0,239,0
0,239,1
0,239,2
0,239,3
0,239,5
0,239,6
0,240,0
0,240,1
0,240,2
0,240,3
0,240,4
0,240,5
0,240,6
0,241,0
0,241,1
0,241,2
0,241,3
0,241,4
0,241,5
0,241,6
0,242,0
0,242,1
0,242,2
0,242,3
0,242,4
0,242,5
0,242,6
0,243,0
0,243,1
0,243,2
0,243,3
0,243,4
0,243,5
0,243,6
0,244,0
0,244,1
0,244,2
0,244,3
0,244,4
0,244,5
0,244,6
0,245,0
0,245,1
0,245,2
0,245,4
0,246,0
0,246,1
0,246,2
0,246,3
0,246,4
0,246,5
0,247,0
0,247,1
0,247,2
0,247,3
0,247,4
0,247,5
0,248,0
0,248,1
0,248,2
0,248,3
0,248,4
0,248,5
0,249,0
0,249,1
0,249,2
0,249,3
0,249,4
0,249,5
0,250,0
0,250,1
0,250,2
0,250,3
0,250,5
0,251,0
0,251,1
0,251,2
0,251,3
0,251,4
0,251,5
0,251,6
0,252,0
0,252,1
0,252,2
0,252,3
0,252,6
0,253,0
0,253,1
0,253,2
0,253,3
0,253,4
0,253,5
0,254,0
0,254,1
0,254,2
0,254,3
0,254,4
0,254,5
0,255,0
0,255,1
0,255,2
0,255,4
0,255,5
0,256,0
0,256,1
0,256,2
0,256,4
0,257,0
0,257,1
0,257,2
0,257,3
0,257,4
0,257,5
0,257,6
0,258,0
0,258,1
0,258,2
0,258,3
0,258,5
0,259,0
0,259,1
0,259,2
0,259,3
0,259,4
0,259,5
0,259,6
0,260,0
0,260,1
0,260,2
0,260,3
0,260,4
0,260,5
0,260,6
0,261,0
0,261,1
0,261,2
0,261,3
0,261,4
0,261,5
0,262,0
0,262,1
0,262,2
0,262,3
0,262,4
0,262,5
0,262,6
0,263,0
0,263,1
0,263,2
0,263,3
0,263,4
0,263,5
0,263,6
0,264,0
0,264,1
0,264,2
0,264,3
0,264,4
0,264,5
0,265,0
0,265,1
0,265,2
0,265,3
0,265,4
0,265,5
0,265,6
0,266,0
0,266,1
0,266,2
0,266,3
0,266,4
0,266,5
0,267,0
0,267,1
0,267,2
0,267,3
0,267,5
0,268,0
0,268,1
0,268,2
0,268,3
0,268,4
0,268,5
0,268,6
0,269,0
0,269,1
0,269,2
0,269,3
0,269,5
0,270,0
0,270,2
0,270,3
0,270,4
0,271,0
0,271,1
0,271,2
0,272,0
0,272,1
0,272,2
0,272,3
0,272,4
0,272,5
0,272,6
0,273,0
0,273,1
0,273,2
0,273,3
0,273,4
0,273,5
0,273,6
0,274,0
0,274,1
0,274,2
0,274,3
0,274,4
0,274,5
0,275,0
0,275,1
0,275,2
0,275,3
0,275,4
0,275,5
0,275,6
0,276,0
0,276,1
0,276,2
0,276,3
0,276,4
0,276,5
0,276,6
0,277,0
0,277,1
0,277,2
0,277,3
0,277,4
0,277,5
0,277,6
0,278,0
0,278,1
0,278,2
0,278,3
0,278,4
0,278,5
0,278,6
0,279,0
0,279,1
0,279,2
