Ligand_symbol,Receptor_symbol,interaction_name_2,interaction_name
HLA-A,ERBB2,HLA-A - ERBB2,HLA-A_ERBB2
HLA-A,KIR3DL1,HLA-A - KIR3DL1,HLA-A_KIR3DL1
HLA-A,CD3G,HLA-A - CD3G,HLA-A_CD3G
HLA-A,LILRA1,HLA-A - LILRA1,HLA-A_LILRA1
HLA-A,APLP2,HLA-A - APLP2,HLA-A_APLP2
HLA-A,LILRB1,HLA-A - LILRB1,HLA-A_LILRB1
HLA-A,KIR3DL2,HLA-A - KIR3DL2,HLA-A_KIR3DL2
CNTN4,PTPRG,CNTN4 - PTPRG,CNTN4_PTPRG
TCTN1,TMEM67,TCTN1 - TMEM67,TCTN1_TMEM67
PDCD1LG2,PDCD1,PDCD1LG2 - PDCD1,PDCD1LG2_PDCD1
TNFSF11,LGR4,TNFSF11 - LGR4,TNFSF11_LGR4
TNFSF11,TNFRSF11B,TNFSF11 - TNFRSF11B,TNFSF11_TNFRSF11B
TNFSF11,TNFRSF11A,TNFSF11 - TNFRSF11A,TNFSF11_TNFRSF11A
DSCAM,DCC,DSCAM - DCC,DSCAM_DCC
FBLN2,ITGB3,FBLN2 - ITGB3,FBLN2_ITGB3
NXPH1,NRXN1,NXPH1 - NRXN1,NXPH1_NRXN1
NXPH1,NRXN2,NXPH1 - NRXN2,NXPH1_NRXN2
SAA1,FPR2,SAA1 - FPR2,SAA1_FPR2
SAA1,FPR1,SAA1 - FPR1,SAA1_FPR1
SAA1,GRM7,SAA1 - GRM7,SAA1_GRM7
SAA1,SCARB1,SAA1 - SCARB1,SAA1_SCARB1
MDK,SORL1,MDK - SORL1,MDK_SORL1
MDK,SDC3,MDK - SDC3,MDK_SDC3
MDK,SDC1,MDK - SDC1,MDK_SDC1
MDK,LRP1,MDK - LRP1,MDK_LRP1
MDK,ITGA4,MDK - ITGA4,MDK_ITGA4
TF,TFR2,TF - TFR2,TF_TFR2
TF,HFE,TF - HFE,TF_HFE
TF,LDLR,TF - LDLR,TF_LDLR
ARTN,GFRA3,ARTN - GFRA3,ARTN_GFRA3
PTPN6,CD300LF,PTPN6 - CD300LF,PTPN6_CD300LF
PTPN6,FCRL4,PTPN6 - FCRL4,PTPN6_FCRL4
CLEC2A,KLRF2,CLEC2A - KLRF2,CLEC2A_KLRF2
NTF3,NTRK1,NTF3 - NTRK1,NTF3_NTRK1
NTF3,NTRK2,NTF3 - NTRK2,NTF3_NTRK2
RLN3,RXFP3,RLN3 - RXFP3,RLN3_RXFP3
RLN3,RXFP4,RLN3 - RXFP4,RLN3_RXFP4
RLN3,GRM7,RLN3 - GRM7,RLN3_GRM7
RLN3,VIPR1,RLN3 - VIPR1,RLN3_VIPR1
RLN3,ADCYAP1R1,RLN3 - ADCYAP1R1,RLN3_ADCYAP1R1
RLN3,GPR84,RLN3 - GPR84,RLN3_GPR84
RLN3,ADRB3,RLN3 - ADRB3,RLN3_ADRB3
TNF,TNFRSF1B,TNF - TNFRSF1B,TNF_TNFRSF1B
TNF,TNFRSF1A,TNF - TNFRSF1A,TNF_TNFRSF1A
TNF,RIPK1,TNF - RIPK1,TNF_RIPK1
TNF,TNFRSF21,TNF - TNFRSF21,TNF_TNFRSF21
TNF,FAS,TNF - FAS,TNF_FAS
TNF,PTPRS,TNF - PTPRS,TNF_PTPRS
TNF,FFAR2,TNF - FFAR2,TNF_FFAR2
TNF,ICOS,TNF - ICOS,TNF_ICOS
LAMA2,ITGA7,LAMA2 - ITGA7,LAMA2_ITGA7
LAMA2,ITGA2,LAMA2 - ITGA2,LAMA2_ITGA2
LAMA2,ITGA3,LAMA2 - ITGA3,LAMA2_ITGA3
LAMA2,RPSA,LAMA2 - RPSA,LAMA2_RPSA
HRAS,SDC2,HRAS - SDC2,HRAS_SDC2
HRAS,GRIN2D,HRAS - GRIN2D,HRAS_GRIN2D
HRAS,TLR9,HRAS - TLR9,HRAS_TLR9
GDNF,EDNRB,GDNF - EDNRB,GDNF_EDNRB
GDNF,GFRA3,GDNF - GFRA3,GDNF_GFRA3
HLA-G,KIR3DL1,HLA-G - KIR3DL1,HLA-G_KIR3DL1
HLA-G,CD4,HLA-G - CD4,HLA-G_CD4
HLA-G,LILRB1,HLA-G - LILRB1,HLA-G_LILRB1
FSHB,ADCYAP1R1,FSHB - ADCYAP1R1,FSHB_ADCYAP1R1
FSHB,VIPR1,FSHB - VIPR1,FSHB_VIPR1
FSHB,ADRB3,FSHB - ADRB3,FSHB_ADRB3
FSHB,GPR84,FSHB - GPR84,FSHB_GPR84
FSHB,FSHR,FSHB - FSHR,FSHB_FSHR
ADM,CALCRL,ADM - CALCRL,ADM_CALCRL
ADM,RAMP1,ADM - RAMP1,ADM_RAMP1
ADM,CALCR,ADM - CALCR,ADM_CALCR
ADM,ADCYAP1R1,ADM - ADCYAP1R1,ADM_ADCYAP1R1
ADM,VIPR1,ADM - VIPR1,ADM_VIPR1
ADM,GPR84,ADM - GPR84,ADM_GPR84
ADM,ADRB3,ADM - ADRB3,ADM_ADRB3
PTHLH,ADRB3,PTHLH - ADRB3,PTHLH_ADRB3
PTHLH,GPR84,PTHLH - GPR84,PTHLH_GPR84
PTHLH,VIPR1,PTHLH - VIPR1,PTHLH_VIPR1
PTHLH,ADCYAP1R1,PTHLH - ADCYAP1R1,PTHLH_ADCYAP1R1
ADCYAP1,ADCYAP1R1,ADCYAP1 - ADCYAP1R1,ADCYAP1_ADCYAP1R1
ADCYAP1,VIPR1,ADCYAP1 - VIPR1,ADCYAP1_VIPR1
ADCYAP1,GPR84,ADCYAP1 - GPR84,ADCYAP1_GPR84
ADCYAP1,ADRB3,ADCYAP1 - ADRB3,ADCYAP1_ADRB3
ADCYAP1,DPP4,ADCYAP1 - DPP4,ADCYAP1_DPP4
CGA,LHCGR,CGA - LHCGR,CGA_LHCGR
CGA,ADRB3,CGA - ADRB3,CGA_ADRB3
CGA,GPR84,CGA - GPR84,CGA_GPR84
CGA,VIPR1,CGA - VIPR1,CGA_VIPR1
CGA,ADCYAP1R1,CGA - ADCYAP1R1,CGA_ADCYAP1R1
CGA,FSHR,CGA - FSHR,CGA_FSHR
S100A10,CFTR,S100A10 - CFTR,S100A10_CFTR
SHANK2,CFTR,SHANK2 - CFTR,SHANK2_CFTR
S100A4,ERBB2,S100A4 - ERBB2,S100A4_ERBB2
S100A4,EGFR,S100A4 - EGFR,S100A4_EGFR
TNFSF13B,CD40,TNFSF13B - CD40,TNFSF13B_CD40
TNFSF13B,TNFRSF13B,TNFSF13B - TNFRSF13B,TNFSF13B_TNFRSF13B
LTA,LTBR,LTA - LTBR,LTA_LTBR
LTA,RIPK1,LTA - RIPK1,LTA_RIPK1
LTA,TNFRSF1A,LTA - TNFRSF1A,LTA_TNFRSF1A
LTA,TNFRSF1B,LTA - TNFRSF1B,LTA_TNFRSF1B
NTF4,NTRK1,NTF4 - NTRK1,NTF4_NTRK1
NTF4,NTRK2,NTF4 - NTRK2,NTF4_NTRK2
FAM3C,GLRA2,FAM3C - GLRA2,FAM3C_GLRA2
C1QB,C1QBP,C1QB - C1QBP,C1QB_C1QBP
C1QB,LRP1,C1QB - LRP1,C1QB_LRP1
GNRH2,GNRHR,GNRH2 - GNRHR,GNRH2_GNRHR
IL22,IL10RA,IL22 - IL10RA,IL22_IL10RA
IL22,IL22RA2,IL22 - IL22RA2,IL22_IL22RA2
IL22,IL21R,IL22 - IL21R,IL22_IL21R
IL22,IL10RB,IL22 - IL10RB,IL22_IL10RB
IL10,IL10RB,IL10 - IL10RB,IL10_IL10RB
IL10,IL10RA,IL10 - IL10RA,IL10_IL10RA
CLEC2D,KLRB1,CLEC2D - KLRB1,CLEC2D_KLRB1
PDYN,GRM7,PDYN - GRM7,PDYN_GRM7
PODXL2,SELL,PODXL2 - SELL,PODXL2_SELL
CD34,SELL,CD34 - SELL,CD34_SELL
CD34,SELP,CD34 - SELP,CD34_SELP
MUC7,SELL,MUC7 - SELL,MUC7_SELL
PODXL,SELL,PODXL - SELL,PODXL_SELL
MICA,KLRK1,MICA - KLRK1,MICA_KLRK1
RAET1L,KLRK1,RAET1L - KLRK1,RAET1L_KLRK1
ULBP2,KLRK1,ULBP2 - KLRK1,ULBP2_KLRK1
RAET1G,KLRK1,RAET1G - KLRK1,RAET1G_KLRK1
CD55,CR1,CD55 - CR1,CD55_CR1
GPC3,LRP1,GPC3 - LRP1,GPC3_LRP1
A2M,LRP1,A2M - LRP1,A2M_LRP1
SERPINA1,LRP1,SERPINA1 - LRP1,SERPINA1_LRP1
SERPINE2,LRP1,SERPINE2 - LRP1,SERPINE2_LRP1
MMP13,LRP1,MMP13 - LRP1,MMP13_LRP1
HPX,LRP1,HPX - LRP1,HPX_LRP1
LIPC,LRP1,LIPC - LRP1,LIPC_LRP1
PSAP,LRP1,PSAP - LRP1,PSAP_LRP1
PSAP,SORT1,PSAP - SORT1,PSAP_SORT1
PSAP,GPR37,PSAP - GPR37,PSAP_GPR37
PSAP,CD1B,PSAP - CD1B,PSAP_CD1B
PSAP,AR,PSAP - AR,PSAP_AR
ASIP,MC4R,ASIP - MC4R,ASIP_MC4R
ASIP,MC5R,ASIP - MC5R,ASIP_MC5R
ASIP,MC2R,ASIP - MC2R,ASIP_MC2R
ASIP,F11R,ASIP - F11R,ASIP_F11R
ASIP,MC1R,ASIP - MC1R,ASIP_MC1R
ASIP,ATRN,ASIP - ATRN,ASIP_ATRN
ASIP,MC3R,ASIP - MC3R,ASIP_MC3R
SFTPA2,CD93,SFTPA2 - CD93,SFTPA2_CD93
MBL2,CD93,MBL2 - CD93,MBL2_CD93
MBL2,CALCR,MBL2 - CALCR,MBL2_CALCR
C1QA,CR1,C1QA - CR1,C1QA_CR1
C1QA,CD93,C1QA - CD93,C1QA_CD93
C1QA,CSPG4,C1QA - CSPG4,C1QA_CSPG4
IGFL1,IGFLR1,IGFL1 - IGFLR1,IGFL1_IGFLR1
IGFL3,IGFLR1,IGFL3 - IGFLR1,IGFL3_IGFLR1
GSTP1,EGFR,GSTP1 - EGFR,GSTP1_EGFR
GALP,GALR1,GALP - GALR1,GALP_GALR1
NTNG2,LRRC4,NTNG2 - LRRC4,NTNG2_LRRC4
NTNG2,LRRC4C,NTNG2 - LRRC4C,NTNG2_LRRC4C
GUCA2B,GUCY2D,GUCA2B - GUCY2D,GUCA2B_GUCY2D
VEGFC,FLT1,VEGFC - FLT1,VEGFC_FLT1
VEGFC,CCBE1,VEGFC - CCBE1,VEGFC_CCBE1
VEGFC,ITGA9,VEGFC - ITGA9,VEGFC_ITGA9
VEGFC,KDR,VEGFC - KDR,VEGFC_KDR
DSC3,DSG3,DSC3 - DSG3,DSC3_DSG3
PDGFA,PDGFRA,PDGFA - PDGFRA,PDGFA_PDGFRA
PDGFA,PDGFRB,PDGFA - PDGFRB,PDGFA_PDGFRB
FGF21,FGFR3,FGF21 - FGFR3,FGF21_FGFR3
FGF21,FGFR2,FGF21 - FGFR2,FGF21_FGFR2
FGF21,KLB,FGF21 - KLB,FGF21_KLB
NMB,GRPR,NMB - GRPR,NMB_GRPR
NMB,BRS3,NMB - BRS3,NMB_BRS3
B2M,HLA-F,B2M - HLA-F,B2M_HLA-F
B2M,CD1B,B2M - CD1B,B2M_CD1B
B2M,LILRB1,B2M - LILRB1,B2M_LILRB1
B2M,CD247,B2M - CD247,B2M_CD247
B2M,HFE,B2M - HFE,B2M_HFE
B2M,KIR3DL1,B2M - KIR3DL1,B2M_KIR3DL1
B2M,KLRC2,B2M - KLRC2,B2M_KLRC2
B2M,CD3G,B2M - CD3G,B2M_CD3G
EDIL3,ITGB5,EDIL3 - ITGB5,EDIL3_ITGB5
CP,SLC40A1,CP - SLC40A1,CP_SLC40A1
SOSTDC1,LRP6,SOSTDC1 - LRP6,SOSTDC1_LRP6
DKK1,LRP6,DKK1 - LRP6,DKK1_LRP6
HSPA1A,GRIN2D,HSPA1A - GRIN2D,HSPA1A_GRIN2D
HSPA1A,TLR4,HSPA1A - TLR4,HSPA1A_TLR4
IL27,IL27RA,IL27 - IL27RA,IL27_IL27RA
PROS1,AXL,PROS1 - AXL,PROS1_AXL
PROS1,TYRO3,PROS1 - TYRO3,PROS1_TYRO3
INS,LILRB1,INS - LILRB1,INS_LILRB1
GREM1,KDR,GREM1 - KDR,GREM1_KDR
NRG1,ERBB3,NRG1 - ERBB3,NRG1_ERBB3
NRG1,LGR4,NRG1 - LGR4,NRG1_LGR4
NRG1,ERBB2,NRG1 - ERBB2,NRG1_ERBB2
NRG1,EGFR,NRG1 - EGFR,NRG1_EGFR
NRG1,ERBB4,NRG1 - ERBB4,NRG1_ERBB4
SLIT2,SDC1,SLIT2 - SDC1,SLIT2_SDC1
SLIT2,DCC,SLIT2 - DCC,SLIT2_DCC
SLIT2,ROBO4,SLIT2 - ROBO4,SLIT2_ROBO4
SLIT2,ROBO1,SLIT2 - ROBO1,SLIT2_ROBO1
SLIT2,ROBO2,SLIT2 - ROBO2,SLIT2_ROBO2
NPPA,NPR1,NPPA - NPR1,NPPA_NPR1
PGF,FLT1,PGF - FLT1,PGF_FLT1
NCAM1,ROBO1,NCAM1 - ROBO1,NCAM1_ROBO1
NCAM1,CACNA1C,NCAM1 - CACNA1C,NCAM1_CACNA1C
NCAM1,FGFR2,NCAM1 - FGFR2,NCAM1_FGFR2
NRG3,ERBB3,NRG3 - ERBB3,NRG3_ERBB3
NRG3,ERBB4,NRG3 - ERBB4,NRG3_ERBB4
NRG3,ERBB2,NRG3 - ERBB2,NRG3_ERBB2
AREG,EGFR,AREG - EGFR,AREG_EGFR
AREG,ERBB3,AREG - ERBB3,AREG_ERBB3
NRG2,ERBB3,NRG2 - ERBB3,NRG2_ERBB3
NRG2,ERBB4,NRG2 - ERBB4,NRG2_ERBB4
NRG2,ERBB2,NRG2 - ERBB2,NRG2_ERBB2
SEMA4D,ERBB2,SEMA4D - ERBB2,SEMA4D_ERBB2
SEMA4D,PLXNB2,SEMA4D - PLXNB2,SEMA4D_PLXNB2
IFNA14,IFNAR2,IFNA14 - IFNAR2,IFNA14_IFNAR2
IFNA14,IFNAR1,IFNA14 - IFNAR1,IFNA14_IFNAR1
IFNA10,IFNAR2,IFNA10 - IFNAR2,IFNA10_IFNAR2
IFNA10,IFNAR1,IFNA10 - IFNAR1,IFNA10_IFNAR1
IFNA8,IFNAR1,IFNA8 - IFNAR1,IFNA8_IFNAR1
IFNA8,IFNAR2,IFNA8 - IFNAR2,IFNA8_IFNAR2
IFNE,IFNAR2,IFNE - IFNAR2,IFNE_IFNAR2
IFNE,IFNAR1,IFNE - IFNAR1,IFNE_IFNAR1
IFNA21,IFNAR1,IFNA21 - IFNAR1,IFNA21_IFNAR1
IFNA21,IFNAR2,IFNA21 - IFNAR2,IFNA21_IFNAR2
IL24,IL20RA,IL24 - IL20RA,IL24_IL20RA
IL24,IL10RB,IL24 - IL10RB,IL24_IL10RB
PTPN11,FCRL4,PTPN11 - FCRL4,PTPN11_FCRL4
EFEMP1,EGFR,EFEMP1 - EGFR,EFEMP1_EGFR
FGL1,EGFR,FGL1 - EGFR,FGL1_EGFR
ANG,EGFR,ANG - EGFR,ANG_EGFR
CXCL2,DPP4,CXCL2 - DPP4,CXCL2_DPP4
CXCL2,CXCR2,CXCL2 - CXCR2,CXCL2_CXCR2
CXCL2,GRM7,CXCL2 - GRM7,CXCL2_GRM7
CXCL2,XCR1,CXCL2 - XCR1,CXCL2_XCR1
CXCL1,GRM7,CXCL1 - GRM7,CXCL1_GRM7
CXCL1,CXCR2,CXCL1 - CXCR2,CXCL1_CXCR2
PPY,GRM7,PPY - GRM7,PPY_GRM7
PPY,NPY2R,PPY - NPY2R,PPY_NPY2R
PPY,NPY5R,PPY - NPY5R,PPY_NPY5R
PPY,NPY1R,PPY - NPY1R,PPY_NPY1R
IL25,IL17RB,IL25 - IL17RB,IL25_IL17RB
IFNL3,IL10RB,IFNL3 - IL10RB,IFNL3_IL10RB
CCL3,CCR4,CCL3 - CCR4,CCL3_CCR4
CCL3,CCR1,CCL3 - CCR1,CCL3_CCR1
CCL3,CCR3,CCL3 - CCR3,CCL3_CCR3
FGF12,FGFR2,FGF12 - FGFR2,FGF12_FGFR2
FGF12,FGFR3,FGF12 - FGFR3,FGF12_FGFR3
CGB5,LHCGR,CGB5 - LHCGR,CGB5_LHCGR
CCL15,CCR1,CCL15 - CCR1,CCL15_CCR1
CCL15,CCR3,CCL15 - CCR3,CCL15_CCR3
CCL23,CCR1,CCL23 - CCR1,CCL23_CCR1
CCL18,CCR8,CCL18 - CCR8,CCL18_CCR8
CCL18,CCR1,CCL18 - CCR1,CCL18_CCR1
CCL18,CCR3,CCL18 - CCR3,CCL18_CCR3
LTBP3,ITGB5,LTBP3 - ITGB5,LTBP3_ITGB5
MST1,MST1R,MST1 - MST1R,MST1_MST1R
CHAD,ITGA2,CHAD - ITGA2,CHAD_ITGA2
NUCB2,ERAP1,NUCB2 - ERAP1,NUCB2_ERAP1
FAT4,DCHS1,FAT4 - DCHS1,FAT4_DCHS1
CD86,CD28,CD86 - CD28,CD86_CD28
ACE2,SLC6A19,ACE2 - SLC6A19,ACE2_SLC6A19
TSLP,IL7R,TSLP - IL7R,TSLP_IL7R
CER1,MRC2,CER1 - MRC2,CER1_MRC2
CD200,CD200R1,CD200 - CD200R1,CD200_CD200R1
C4B,CR1,C4B - CR1,C4B_CR1
C4B,CD46,C4B - CD46,C4B_CD46
IL19,IL20RA,IL19 - IL20RA,IL19_IL20RA
EDN1,EDNRB,EDN1 - EDNRB,EDN1_EDNRB
EDN1,KEL,EDN1 - KEL,EDN1_KEL
SEMA4B,DCBLD2,SEMA4B - DCBLD2,SEMA4B_DCBLD2
PTMA,VIPR1,PTMA - VIPR1,PTMA_VIPR1
TNFSF18,TNFRSF18,TNFSF18 - TNFRSF18,TNFSF18_TNFRSF18
OBP2A,OR1G1,OBP2A - OR1G1,OBP2A_OR1G1
F7,F3,F7 - F3,F7_F3
RGMA,NEO1,RGMA - NEO1,RGMA_NEO1
RGMA,HFE,RGMA - HFE,RGMA_HFE
RGMA,TFR2,RGMA - TFR2,RGMA_TFR2
WNT5B,KLRG2,WNT5B - KLRG2,WNT5B_KLRG2
CD5L,CD5,CD5L - CD5,CD5L_CD5
GSTO1,RYR1,GSTO1 - RYR1,GSTO1_RYR1
ANGPT4,TIE1,ANGPT4 - TIE1,ANGPT4_TIE1
ANGPT4,TEK,ANGPT4 - TEK,ANGPT4_TEK
IRAK4,TLR6,IRAK4 - TLR6,IRAK4_TLR6
IRAK4,TLR4,IRAK4 - TLR4,IRAK4_TLR4
COLQ,MUSK,COLQ - MUSK,COLQ_MUSK
QRFP,QRFPR,QRFP - QRFPR,QRFP_QRFPR
GDF10,ACVR1B,GDF10 - ACVR1B,GDF10_ACVR1B
NID2,ITGB3,NID2 - ITGB3,NID2_ITGB3
NID2,ITGA2,NID2 - ITGA2,NID2_ITGA2
LAMB1,LRP1,LAMB1 - LRP1,LAMB1_LRP1
LAMB1,ITGB3,LAMB1 - ITGB3,LAMB1_ITGB3
C5,ITGA4,C5 - ITGA4,C5_ITGA4
C5,LRP1,C5 - LRP1,C5_LRP1
C5,ITGB3,C5 - ITGB3,C5_ITGB3
C5,LDLR,C5 - LDLR,C5_LDLR
C5,CALCR,C5 - CALCR,C5_CALCR
C5,TLR4,C5 - TLR4,C5_TLR4
C5,ASGR2,C5 - ASGR2,C5_ASGR2
COL1A1,ITGB5,COL1A1 - ITGB5,COL1A1_ITGB5
COL1A1,ITGB3,COL1A1 - ITGB3,COL1A1_ITGB3
COL1A1,ITGB8,COL1A1 - ITGB8,COL1A1_ITGB8
COL1A1,CD47,COL1A1 - CD47,COL1A1_CD47
COL1A1,ITGA2B,COL1A1 - ITGA2B,COL1A1_ITGA2B
COL1A1,SDC3,COL1A1 - SDC3,COL1A1_SDC3
COL1A1,BCAM,COL1A1 - BCAM,COL1A1_BCAM
COL1A1,GPC4,COL1A1 - GPC4,COL1A1_GPC4
COL1A1,ITGA3,COL1A1 - ITGA3,COL1A1_ITGA3
COL1A1,ITGA10,COL1A1 - ITGA10,COL1A1_ITGA10
LAMA4,LRP1,LAMA4 - LRP1,LAMA4_LRP1
LAMA4,ITGB3,LAMA4 - ITGB3,LAMA4_ITGB3
LAMA4,ITGA2,LAMA4 - ITGA2,LAMA4_ITGA2
C3,ITGB3,C3 - ITGB3,C3_ITGB3
C3,TLR4,C3 - TLR4,C3_TLR4
NCAN,ITGB3,NCAN - ITGB3,NCAN_ITGB3
NCAN,ITGA2,NCAN - ITGA2,NCAN_ITGA2
NCAN,CD93,NCAN - CD93,NCAN_CD93
DSC1,LRP1,DSC1 - LRP1,DSC1_LRP1
THBS1,ITGA2,THBS1 - ITGA2,THBS1_ITGA2
VWF,EGFR,VWF - EGFR,VWF_EGFR
VWF,ITGA4,VWF - ITGA4,VWF_ITGA4
VWF,SDC2,VWF - SDC2,VWF_SDC2
VWF,ITGB6,VWF - ITGB6,VWF_ITGB6
VWF,ITGA8,VWF - ITGA8,VWF_ITGA8
VWF,CD46,VWF - CD46,VWF_CD46
VWF,ROBO1,VWF - ROBO1,VWF_ROBO1
VWF,ITGA9,VWF - ITGA9,VWF_ITGA9
VWF,ROBO4,VWF - ROBO4,VWF_ROBO4
CDH1,LRP1,CDH1 - LRP1,CDH1_LRP1
CDH1,ITGB3,CDH1 - ITGB3,CDH1_ITGB3
FARP2,ITGB3,FARP2 - ITGB3,FARP2_ITGB3
LAMC2,ITGB3,LAMC2 - ITGB3,LAMC2_ITGB3
NID1,ITGA2,NID1 - ITGA2,NID1_ITGA2
F13A1,LRP1,F13A1 - LRP1,F13A1_LRP1
F13A1,ITGB3,F13A1 - ITGB3,F13A1_ITGB3
EGF,LRP1,EGF - LRP1,EGF_LRP1
EGF,ITGB3,EGF - ITGB3,EGF_ITGB3
EGF,ITGA2,EGF - ITGA2,EGF_ITGA2
SEMA3D,EGFR,SEMA3D - EGFR,SEMA3D_EGFR
APP,EGFR,APP - EGFR,APP_EGFR
SHANK1,ITGB3,SHANK1 - ITGB3,SHANK1_ITGB3
SHANK1,ITGA2,SHANK1 - ITGA2,SHANK1_ITGA2
SHANK1,CD93,SHANK1 - CD93,SHANK1_CD93
SHANK1,CD47,SHANK1 - CD47,SHANK1_CD47
SHANK1,ITGA3,SHANK1 - ITGA3,SHANK1_ITGA3
COL6A3,ITGA4,COL6A3 - ITGA4,COL6A3_ITGA4
COL6A3,LRP1,COL6A3 - LRP1,COL6A3_LRP1
COL6A3,ITGA3,COL6A3 - ITGA3,COL6A3_ITGA3
COL1A2,ITGB5,COL1A2 - ITGB5,COL1A2_ITGB5
COL1A2,ITGB8,COL1A2 - ITGB8,COL1A2_ITGB8
COL1A2,DDR2,COL1A2 - DDR2,COL1A2_DDR2
COL1A2,DDR1,COL1A2 - DDR1,COL1A2_DDR1
COL1A2,CD47,COL1A2 - CD47,COL1A2_CD47
COL1A2,GPC4,COL1A2 - GPC4,COL1A2_GPC4
COL1A2,ITGA3,COL1A2 - ITGA3,COL1A2_ITGA3
COL1A2,ITGA10,COL1A2 - ITGA10,COL1A2_ITGA10
HSP90B1,EGFR,HSP90B1 - EGFR,HSP90B1_EGFR
HSP90B1,ITGA4,HSP90B1 - ITGA4,HSP90B1_ITGA4
HSP90B1,LRP6,HSP90B1 - LRP6,HSP90B1_LRP6
HSP90B1,LDLR,HSP90B1 - LDLR,HSP90B1_LDLR
HSP90B1,PTPRD,HSP90B1 - PTPRD,HSP90B1_PTPRD
COL6A2,ITGB3,COL6A2 - ITGB3,COL6A2_ITGB3
COL6A2,CD93,COL6A2 - CD93,COL6A2_CD93
COL6A2,CD47,COL6A2 - CD47,COL6A2_CD47
SEMA3E,ITGB3,SEMA3E - ITGB3,SEMA3E_ITGB3
COL3A1,ITGB5,COL3A1 - ITGB5,COL3A1_ITGB5
COL3A1,ITGB3,COL3A1 - ITGB3,COL3A1_ITGB3
COL3A1,ITGB8,COL3A1 - ITGB8,COL3A1_ITGB8
COL3A1,CD36,COL3A1 - CD36,COL3A1_CD36
COL3A1,CD93,COL3A1 - CD93,COL3A1_CD93
COL3A1,ITGA11,COL3A1 - ITGA11,COL3A1_ITGA11
COL3A1,CD47,COL3A1 - CD47,COL3A1_CD47
COL3A1,ITGA2B,COL3A1 - ITGA2B,COL3A1_ITGA2B
COL3A1,GPC4,COL3A1 - GPC4,COL3A1_GPC4
COL3A1,ITGA3,COL3A1 - ITGA3,COL3A1_ITGA3
COL3A1,ITGA10,COL3A1 - ITGA10,COL3A1_ITGA10
NLGN2,ITGB3,NLGN2 - ITGB3,NLGN2_ITGB3
BMP1,ITGB3,BMP1 - ITGB3,BMP1_ITGB3
BMP1,ITGA2,BMP1 - ITGA2,BMP1_ITGA2
FGA,LRP1,FGA - LRP1,FGA_LRP1
FGA,ITGA2,FGA - ITGA2,FGA_ITGA2
FGA,CD93,FGA - CD93,FGA_CD93
TLN1,EGFR,TLN1 - EGFR,TLN1_EGFR
TLN1,ITGB2,TLN1 - ITGB2,TLN1_ITGB2
TLN1,DCC,TLN1 - DCC,TLN1_DCC
TLN1,ERBB2,TLN1 - ERBB2,TLN1_ERBB2
TLN1,ITGA4,TLN1 - ITGA4,TLN1_ITGA4
TLN1,ITGB7,TLN1 - ITGB7,TLN1_ITGB7
TLN1,LRP1,TLN1 - LRP1,TLN1_LRP1
TLN1,SDC2,TLN1 - SDC2,TLN1_SDC2
TLN1,ASGR1,TLN1 - ASGR1,TLN1_ASGR1
TLN1,LRP6,TLN1 - LRP6,TLN1_LRP6
TLN1,C5AR2,TLN1 - C5AR2,TLN1_C5AR2
TLN1,C5AR1,TLN1 - C5AR1,TLN1_C5AR1
TLN1,LDLR,TLN1 - LDLR,TLN1_LDLR
TLN1,SELL,TLN1 - SELL,TLN1_SELL
TLN1,SELP,TLN1 - SELP,TLN1_SELP
TLN1,CALCR,TLN1 - CALCR,TLN1_CALCR
TLN1,TLR6,TLN1 - TLR6,TLN1_TLR6
TLN1,TLR4,TLN1 - TLR4,TLN1_TLR4
TLN1,LRP8,TLN1 - LRP8,TLN1_LRP8
TLN1,CD46,TLN1 - CD46,TLN1_CD46
TLN1,CR1,TLN1 - CR1,TLN1_CR1
TLN1,PTPRD,TLN1 - PTPRD,TLN1_PTPRD
TLN1,ITGA9,TLN1 - ITGA9,TLN1_ITGA9
TLN1,ASGR2,TLN1 - ASGR2,TLN1_ASGR2
LPA,EGFR,LPA - EGFR,LPA_EGFR
LPA,ITGB5,LPA - ITGB5,LPA_ITGB5
LPA,ITGA4,LPA - ITGA4,LPA_ITGA4
LPA,COL13A1,LPA - COL13A1,LPA_COL13A1
LPA,LRP1,LPA - LRP1,LPA_LRP1
LPA,SDC2,LPA - SDC2,LPA_SDC2
LPA,TPO,LPA - TPO,LPA_TPO
LPA,ITGB3,LPA - ITGB3,LPA_ITGB3
LPA,ITGB6,LPA - ITGB6,LPA_ITGB6
LPA,ITGB8,LPA - ITGB8,LPA_ITGB8
LPA,CD36,LPA - CD36,LPA_CD36
LPA,SDC1,LPA - SDC1,LPA_SDC1
LPA,ITGA7,LPA - ITGA7,LPA_ITGA7
LPA,ITGA2,LPA - ITGA2,LPA_ITGA2
LPA,CD93,LPA - CD93,LPA_CD93
LPA,DDR2,LPA - DDR2,LPA_DDR2
LPA,ITGA11,LPA - ITGA11,LPA_ITGA11
LPA,DDR1,LPA - DDR1,LPA_DDR1
LPA,ITGA8,LPA - ITGA8,LPA_ITGA8
LPA,CD47,LPA - CD47,LPA_CD47
LPA,ITGA2B,LPA - ITGA2B,LPA_ITGA2B
LPA,TNFRSF11B,LPA - TNFRSF11B,LPA_TNFRSF11B
LPA,SELP,LPA - SELP,LPA_SELP
