Ligand_symbol,Receptor_symbol,interaction_name,interaction_name_2
TLN1,C5AR2,TLN1_C5AR2,TLN1 - C5AR2
TLN1,C5AR1,TLN1_C5AR1,TLN1 - C5AR1
TLN1,LDLR,TLN1_LDLR,TLN1 - LDLR
TLN1,TLR2,TLN1_TLR2,TLN1 - TLR2
TLN1,SELL,TLN1_SELL,TLN1 - SELL
TLN1,SELP,TLN1_SELP,TLN1 - SELP
TLN1,VLDLR,TLN1_VLDLR,TLN1 - VLDLR
TLN1,OLR1,TLN1_OLR1,TLN1 - OLR1
TLN1,CALCR,TLN1_CALCR,TLN1 - CALCR
TLN1,MTTP,TLN1_MTTP,TLN1 - MTTP
TLN1,LSR,TLN1_LSR,TLN1 - LSR
TLN1,TLR6,TLN1_TLR6,TLN1 - TLR6
TLN1,TLR4,TLN1_TLR4,TLN1 - TLR4
TLN1,LRP8,TLN1_LRP8,TLN1 - LRP8
TLN1,CD46,TLN1_CD46,TLN1 - CD46
TLN1,C3AR1,TLN1_C3AR1,TLN1 - C3AR1
TLN1,CR1,TLN1_CR1,TLN1 - CR1
TLN1,TLR1,TLN1_TLR1,TLN1 - TLR1
TLN1,PTPRD,TLN1_PTPRD,TLN1 - PTPRD
TLN1,ITGA9,TLN1_ITGA9,TLN1 - ITGA9
TLN1,ASGR2,TLN1_ASGR2,TLN1 - ASGR2
LPA,EGFR,LPA_EGFR,LPA - EGFR
LPA,ITGB5,LPA_ITGB5,LPA - ITGB5
LPA,ITGA4,LPA_ITGA4,LPA - ITGA4
LPA,CD44,LPA_CD44,LPA - CD44
LPA,ITGB1,LPA_ITGB1,LPA - ITGB1
LPA,COL13A1,LPA_COL13A1,LPA - COL13A1
LPA,LRP1,LPA_LRP1,LPA - LRP1
LPA,SDC2,LPA_SDC2,LPA - SDC2
LPA,TPO,LPA_TPO,LPA - TPO
LPA,ITGB3,LPA_ITGB3,LPA - ITGB3
LPA,ITGB6,LPA_ITGB6,LPA - ITGB6
LPA,ITGAV,LPA_ITGAV,LPA - ITGAV
LPA,ITGB8,LPA_ITGB8,LPA - ITGB8
LPA,CD36,LPA_CD36,LPA - CD36
LPA,SDC1,LPA_SDC1,LPA - SDC1
LPA,ITGA7,LPA_ITGA7,LPA - ITGA7
LPA,ITGA6,LPA_ITGA6,LPA - ITGA6
LPA,ITGA1,LPA_ITGA1,LPA - ITGA1
LPA,ITGA2,LPA_ITGA2,LPA - ITGA2
LPA,ITGA5,LPA_ITGA5,LPA - ITGA5
LPA,CD93,LPA_CD93,LPA - CD93
LPA,FLT4,LPA_FLT4,LPA - FLT4
LPA,DDR2,LPA_DDR2,LPA - DDR2
LPA,ITGA11,LPA_ITGA11,LPA - ITGA11
LPA,TMPRSS6,LPA_TMPRSS6,LPA - TMPRSS6
LPA,DDR1,LPA_DDR1,LPA - DDR1
LPA,ITGA8,LPA_ITGA8,LPA - ITGA8
LPA,CD47,LPA_CD47,LPA - CD47
LPA,ITGA2B,LPA_ITGA2B,LPA - ITGA2B
LPA,TNFRSF11B,LPA_TNFRSF11B,LPA - TNFRSF11B
LPA,SELP,LPA_SELP,LPA - SELP
LPA,LRP8,LPA_LRP8,LPA - LRP8
LPA,BCAM,LPA_BCAM,LPA - BCAM
LPA,SCARA5,LPA_SCARA5,LPA - SCARA5
LPA,STAB2,LPA_STAB2,LPA - STAB2
LPA,RPSA,LPA_RPSA,LPA - RPSA
LPA,ADGRB2,LPA_ADGRB2,LPA - ADGRB2
LPA,ADGRL2,LPA_ADGRL2,LPA - ADGRL2
LPA,MAG,LPA_MAG,LPA - MAG
LPA,PTPRS,LPA_PTPRS,LPA - PTPRS
LPA,ATP1A3,LPA_ATP1A3,LPA - ATP1A3
LPA,ITGA3,LPA_ITGA3,LPA - ITGA3
LPA,ITGB4,LPA_ITGB4,LPA - ITGB4
LPA,NT5E,LPA_NT5E,LPA - NT5E
LPA,GPC1,LPA_GPC1,LPA - GPC1
LPA,ITGA9,LPA_ITGA9,LPA - ITGA9
LPA,DCHS1,LPA_DCHS1,LPA - DCHS1
LPA,ROBO4,LPA_ROBO4,LPA - ROBO4
LPA,ITGA10,LPA_ITGA10,LPA - ITGA10
LAMA3,LRP2,LAMA3_LRP2,LAMA3 - LRP2
LAMA3,LRP1,LAMA3_LRP1,LAMA3 - LRP1
LAMA3,ITGB3,LAMA3_ITGB3,LAMA3 - ITGB3
LAMA3,ITGB6,LAMA3_ITGB6,LAMA3 - ITGB6
LAMA3,ITGA6,LAMA3_ITGA6,LAMA3 - ITGA6
LAMA3,ITGA2,LAMA3_ITGA2,LAMA3 - ITGA2
LAMA3,TNFRSF11B,LAMA3_TNFRSF11B,LAMA3 - TNFRSF11B
LAMA3,NT5E,LAMA3_NT5E,LAMA3 - NT5E
LAMA3,ROBO4,LAMA3_ROBO4,LAMA3 - ROBO4
SEMA6D,LRP2,SEMA6D_LRP2,SEMA6D - LRP2
SEMA6D,ITGB1,SEMA6D_ITGB1,SEMA6D - ITGB1
SEMA6D,LRP1,SEMA6D_LRP1,SEMA6D - LRP1
SEMA6D,ITGB3,SEMA6D_ITGB3,SEMA6D - ITGB3
SEMA6D,ITGAV,SEMA6D_ITGAV,SEMA6D - ITGAV
SEMA6D,ITGA2,SEMA6D_ITGA2,SEMA6D - ITGA2
MTMR4,ITGB1,MTMR4_ITGB1,MTMR4 - ITGB1
FBN1,COL13A1,FBN1_COL13A1,FBN1 - COL13A1
FBN1,ITGB8,FBN1_ITGB8,FBN1 - ITGB8
FBN1,SDC1,FBN1_SDC1,FBN1 - SDC1
FBN1,ITGA7,FBN1_ITGA7,FBN1 - ITGA7
FBN1,ITGA6,FBN1_ITGA6,FBN1 - ITGA6
FBN1,TMPRSS6,FBN1_TMPRSS6,FBN1 - TMPRSS6
FBN1,ITGA2B,FBN1_ITGA2B,FBN1 - ITGA2B
JAG2,ITGB1,JAG2_ITGB1,JAG2 - ITGB1
JAG2,ITGB3,JAG2_ITGB3,JAG2 - ITGB3
JAG2,ITGAV,JAG2_ITGAV,JAG2 - ITGAV
JAG2,ITGA2,JAG2_ITGA2,JAG2 - ITGA2
CNTN2,LRP2,CNTN2_LRP2,CNTN2 - LRP2
CNTN2,ITGB1,CNTN2_ITGB1,CNTN2 - ITGB1
CNTN2,ITGB3,CNTN2_ITGB3,CNTN2 - ITGB3
CNTN2,ITGAV,CNTN2_ITGAV,CNTN2 - ITGAV
CNTN2,ITGA2,CNTN2_ITGA2,CNTN2 - ITGA2
BCAN,ITGB1,BCAN_ITGB1,BCAN - ITGB1
COL4A5,ITGB3,COL4A5_ITGB3,COL4A5 - ITGB3
COL4A5,CD36,COL4A5_CD36,COL4A5 - CD36
COL4A5,FLT4,COL4A5_FLT4,COL4A5 - FLT4
COL4A5,DDR2,COL4A5_DDR2,COL4A5 - DDR2
COL4A5,ITGA11,COL4A5_ITGA11,COL4A5 - ITGA11
COL4A5,DDR1,COL4A5_DDR1,COL4A5 - DDR1
COL4A5,MAG,COL4A5_MAG,COL4A5 - MAG
COL4A5,ITGA10,COL4A5_ITGA10,COL4A5 - ITGA10
SLIT3,ITGB1,SLIT3_ITGB1,SLIT3 - ITGB1
COL7A1,ITGB5,COL7A1_ITGB5,COL7A1 - ITGB5
COL7A1,CD44,COL7A1_CD44,COL7A1 - CD44
COL7A1,COL13A1,COL7A1_COL13A1,COL7A1 - COL13A1
COL7A1,ITGB3,COL7A1_ITGB3,COL7A1 - ITGB3
COL7A1,ITGAV,COL7A1_ITGAV,COL7A1 - ITGAV
COL7A1,ITGB8,COL7A1_ITGB8,COL7A1 - ITGB8
COL7A1,CD36,COL7A1_CD36,COL7A1 - CD36
COL7A1,ITGA1,COL7A1_ITGA1,COL7A1 - ITGA1
COL7A1,ITGA5,COL7A1_ITGA5,COL7A1 - ITGA5
COL7A1,CD93,COL7A1_CD93,COL7A1 - CD93
COL7A1,FLT4,COL7A1_FLT4,COL7A1 - FLT4
COL7A1,DDR2,COL7A1_DDR2,COL7A1 - DDR2
COL7A1,ITGA11,COL7A1_ITGA11,COL7A1 - ITGA11
COL7A1,TMPRSS6,COL7A1_TMPRSS6,COL7A1 - TMPRSS6
COL7A1,DDR1,COL7A1_DDR1,COL7A1 - DDR1
COL7A1,CD47,COL7A1_CD47,COL7A1 - CD47
COL7A1,ITGA2B,COL7A1_ITGA2B,COL7A1 - ITGA2B
COL7A1,BCAM,COL7A1_BCAM,COL7A1 - BCAM
COL7A1,ADGRB2,COL7A1_ADGRB2,COL7A1 - ADGRB2
COL7A1,ADGRL2,COL7A1_ADGRL2,COL7A1 - ADGRL2
COL7A1,MAG,COL7A1_MAG,COL7A1 - MAG
COL7A1,ITGA3,COL7A1_ITGA3,COL7A1 - ITGA3
COL7A1,ITGA10,COL7A1_ITGA10,COL7A1 - ITGA10
HSP90AA1,TLR7,HSP90AA1_TLR7,HSP90AA1 - TLR7
RTN4,ITGB1,RTN4_ITGB1,RTN4 - ITGB1
DMP1,ITGB1,DMP1_ITGB1,DMP1 - ITGB1
NTN4,ITGB1,NTN4_ITGB1,NTN4 - ITGB1
COL9A3,ITGB5,COL9A3_ITGB5,COL9A3 - ITGB5
COL9A3,CD44,COL9A3_CD44,COL9A3 - CD44
COL9A3,ITGB3,COL9A3_ITGB3,COL9A3 - ITGB3
COL9A3,ITGAV,COL9A3_ITGAV,COL9A3 - ITGAV
COL9A3,ITGB8,COL9A3_ITGB8,COL9A3 - ITGB8
COL9A3,CD36,COL9A3_CD36,COL9A3 - CD36
COL9A3,ITGA1,COL9A3_ITGA1,COL9A3 - ITGA1
COL9A3,ITGA2,COL9A3_ITGA2,COL9A3 - ITGA2
COL9A3,ITGA5,COL9A3_ITGA5,COL9A3 - ITGA5
COL9A3,CD93,COL9A3_CD93,COL9A3 - CD93
COL9A3,FLT4,COL9A3_FLT4,COL9A3 - FLT4
COL9A3,DDR2,COL9A3_DDR2,COL9A3 - DDR2
COL9A3,ITGA11,COL9A3_ITGA11,COL9A3 - ITGA11
COL9A3,DDR1,COL9A3_DDR1,COL9A3 - DDR1
COL9A3,CD47,COL9A3_CD47,COL9A3 - CD47
COL9A3,ITGA2B,COL9A3_ITGA2B,COL9A3 - ITGA2B
COL9A3,SDC3,COL9A3_SDC3,COL9A3 - SDC3
COL9A3,GPC4,COL9A3_GPC4,COL9A3 - GPC4
COL9A3,ADGRB2,COL9A3_ADGRB2,COL9A3 - ADGRB2
COL9A3,ADGRL2,COL9A3_ADGRL2,COL9A3 - ADGRL2
COL9A3,ITGA3,COL9A3_ITGA3,COL9A3 - ITGA3
COL9A3,TNFRSF10A,COL9A3_TNFRSF10A,COL9A3 - TNFRSF10A
COL9A3,ITGA10,COL9A3_ITGA10,COL9A3 - ITGA10
COL9A3,SLC4A11,COL9A3_SLC4A11,COL9A3 - SLC4A11
FN1,EGFR,FN1_EGFR,FN1 - EGFR
FN1,ITGB2,FN1_ITGB2,FN1 - ITGB2
FN1,FGFR1,FN1_FGFR1,FN1 - FGFR1
FN1,DCC,FN1_DCC,FN1 - DCC
FN1,ITGB5,FN1_ITGB5,FN1 - ITGB5
FN1,LRP2,FN1_LRP2,FN1 - LRP2
FN1,LRP1,FN1_LRP1,FN1 - LRP1
FN1,ASGR1,FN1_ASGR1,FN1 - ASGR1
FN1,TPO,FN1_TPO,FN1 - TPO
FN1,ITGAM,FN1_ITGAM,FN1 - ITGAM
FN1,SDC1,FN1_SDC1,FN1 - SDC1
FN1,ITGA1,FN1_ITGA1,FN1 - ITGA1
FN1,CD93,FN1_CD93,FN1 - CD93
FN1,SELL,FN1_SELL,FN1 - SELL
FN1,SELP,FN1_SELP,FN1 - SELP
FN1,ERBB3,FN1_ERBB3,FN1 - ERBB3
FN1,VLDLR,FN1_VLDLR,FN1 - VLDLR
FN1,LRP8,FN1_LRP8,FN1 - LRP8
FN1,ABCA1,FN1_ABCA1,FN1 - ABCA1
FN1,CD46,FN1_CD46,FN1 - CD46
FN1,GP1BA,FN1_GP1BA,FN1 - GP1BA
FN1,SIRPA,FN1_SIRPA,FN1 - SIRPA
FN1,GPC4,FN1_GPC4,FN1 - GPC4
FN1,TLR1,FN1_TLR1,FN1 - TLR1
FN1,CNTN1,FN1_CNTN1,FN1 - CNTN1
FN1,ROBO1,FN1_ROBO1,FN1 - ROBO1
FN1,ADGRL2,FN1_ADGRL2,FN1 - ADGRL2
FN1,ADGRL1,FN1_ADGRL1,FN1 - ADGRL1
FN1,PTPRS,FN1_PTPRS,FN1 - PTPRS
COL18A1,CD44,COL18A1_CD44,COL18A1 - CD44
COL18A1,COL13A1,COL18A1_COL13A1,COL18A1 - COL13A1
COL18A1,ITGAV,COL18A1_ITGAV,COL18A1 - ITGAV
COL18A1,ITGB8,COL18A1_ITGB8,COL18A1 - ITGB8
COL18A1,CD36,COL18A1_CD36,COL18A1 - CD36
COL18A1,ITGA6,COL18A1_ITGA6,COL18A1 - ITGA6
COL18A1,ITGA1,COL18A1_ITGA1,COL18A1 - ITGA1
COL18A1,ITGA2,COL18A1_ITGA2,COL18A1 - ITGA2
COL18A1,CD93,COL18A1_CD93,COL18A1 - CD93
COL18A1,FLT4,COL18A1_FLT4,COL18A1 - FLT4
COL18A1,DDR2,COL18A1_DDR2,COL18A1 - DDR2
COL18A1,ITGA11,COL18A1_ITGA11,COL18A1 - ITGA11
COL18A1,TMPRSS6,COL18A1_TMPRSS6,COL18A1 - TMPRSS6
COL18A1,DDR1,COL18A1_DDR1,COL18A1 - DDR1
COL18A1,CD47,COL18A1_CD47,COL18A1 - CD47
COL18A1,ITGA2B,COL18A1_ITGA2B,COL18A1 - ITGA2B
COL18A1,ABCA1,COL18A1_ABCA1,COL18A1 - ABCA1
COL18A1,SDC3,COL18A1_SDC3,COL18A1 - SDC3
COL18A1,BCAM,COL18A1_BCAM,COL18A1 - BCAM
COL18A1,SSTR2,COL18A1_SSTR2,COL18A1 - SSTR2
COL18A1,ADGRB2,COL18A1_ADGRB2,COL18A1 - ADGRB2
COL18A1,ADGRL2,COL18A1_ADGRL2,COL18A1 - ADGRL2
COL18A1,ADGRL1,COL18A1_ADGRL1,COL18A1 - ADGRL1
COL18A1,MAG,COL18A1_MAG,COL18A1 - MAG
COL18A1,PTPRS,COL18A1_PTPRS,COL18A1 - PTPRS
COL18A1,ITGB4,COL18A1_ITGB4,COL18A1 - ITGB4
COL18A1,ITGA10,COL18A1_ITGA10,COL18A1 - ITGA10
COL18A1,SLC4A11,COL18A1_SLC4A11,COL18A1 - SLC4A11
COL9A1,ITGB5,COL9A1_ITGB5,COL9A1 - ITGB5
COL9A1,CD44,COL9A1_CD44,COL9A1 - CD44
COL9A1,ITGB3,COL9A1_ITGB3,COL9A1 - ITGB3
COL9A1,ITGAV,COL9A1_ITGAV,COL9A1 - ITGAV
COL9A1,ITGB8,COL9A1_ITGB8,COL9A1 - ITGB8
COL9A1,CD36,COL9A1_CD36,COL9A1 - CD36
COL9A1,SDC1,COL9A1_SDC1,COL9A1 - SDC1
COL9A1,ITGA1,COL9A1_ITGA1,COL9A1 - ITGA1
COL9A1,ITGA2,COL9A1_ITGA2,COL9A1 - ITGA2
COL9A1,ITGA5,COL9A1_ITGA5,COL9A1 - ITGA5
COL9A1,CD93,COL9A1_CD93,COL9A1 - CD93
COL9A1,FLT4,COL9A1_FLT4,COL9A1 - FLT4
COL9A1,DDR2,COL9A1_DDR2,COL9A1 - DDR2
COL9A1,ITGA11,COL9A1_ITGA11,COL9A1 - ITGA11
COL9A1,DDR1,COL9A1_DDR1,COL9A1 - DDR1
COL9A1,CD47,COL9A1_CD47,COL9A1 - CD47
COL9A1,ITGA2B,COL9A1_ITGA2B,COL9A1 - ITGA2B
COL9A1,SDC3,COL9A1_SDC3,COL9A1 - SDC3
COL9A1,GPC4,COL9A1_GPC4,COL9A1 - GPC4
COL9A1,SSTR2,COL9A1_SSTR2,COL9A1 - SSTR2
COL9A1,ADGRB2,COL9A1_ADGRB2,COL9A1 - ADGRB2
COL9A1,ADGRL2,COL9A1_ADGRL2,COL9A1 - ADGRL2
COL9A1,ITGA3,COL9A1_ITGA3,COL9A1 - ITGA3
COL9A1,TNFRSF10A,COL9A1_TNFRSF10A,COL9A1 - TNFRSF10A
COL9A1,ITGA10,COL9A1_ITGA10,COL9A1 - ITGA10
COL9A1,SLC4A11,COL9A1_SLC4A11,COL9A1 - SLC4A11
ITIH2,ITGB1,ITIH2_ITGB1,ITIH2 - ITGB1
NLGN3,LRP2,NLGN3_LRP2,NLGN3 - LRP2
NLGN3,ITGB1,NLGN3_ITGB1,NLGN3 - ITGB1
NLGN3,ITGB3,NLGN3_ITGB3,NLGN3 - ITGB3
NLGN3,ITGAV,NLGN3_ITGAV,NLGN3 - ITGAV
F8,EGFR,F8_EGFR,F8 - EGFR
F8,ITGA4,F8_ITGA4,F8 - ITGA4
F8,CD44,F8_CD44,F8 - CD44
F8,LRP2,F8_LRP2,F8 - LRP2
F8,ITGB1,F8_ITGB1,F8 - ITGB1
F8,ITGA2,F8_ITGA2,F8 - ITGA2
F8,C5AR1,F8_C5AR1,F8 - C5AR1
F8,SELP,F8_SELP,F8 - SELP
F8,VLDLR,F8_VLDLR,F8 - VLDLR
F8,OLR1,F8_OLR1,F8 - OLR1
F8,LSR,F8_LSR,F8 - LSR
F8,TLR6,F8_TLR6,F8 - TLR6
F8,TLR4,F8_TLR4,F8 - TLR4
F8,LRP8,F8_LRP8,F8 - LRP8
F8,TLR1,F8_TLR1,F8 - TLR1
COL4A2,ITGB1,COL4A2_ITGB1,COL4A2 - ITGB1
COL4A2,ITGAV,COL4A2_ITGAV,COL4A2 - ITGAV
COL4A2,ITGB8,COL4A2_ITGB8,COL4A2 - ITGB8
COL4A2,CD36,COL4A2_CD36,COL4A2 - CD36
COL4A2,ITGA1,COL4A2_ITGA1,COL4A2 - ITGA1
COL4A2,ITGA2,COL4A2_ITGA2,COL4A2 - ITGA2
COL4A2,ITGA5,COL4A2_ITGA5,COL4A2 - ITGA5
COL4A2,FLT4,COL4A2_FLT4,COL4A2 - FLT4
COL4A2,DDR2,COL4A2_DDR2,COL4A2 - DDR2
COL4A2,ITGA11,COL4A2_ITGA11,COL4A2 - ITGA11
COL4A2,TMPRSS6,COL4A2_TMPRSS6,COL4A2 - TMPRSS6
COL4A2,DDR1,COL4A2_DDR1,COL4A2 - DDR1
COL4A2,CD47,COL4A2_CD47,COL4A2 - CD47
COL4A2,ITGA2B,COL4A2_ITGA2B,COL4A2 - ITGA2B
COL4A2,GPC4,COL4A2_GPC4,COL4A2 - GPC4
COL4A2,ADGRB2,COL4A2_ADGRB2,COL4A2 - ADGRB2
COL4A2,ADGRL2,COL4A2_ADGRL2,COL4A2 - ADGRL2
COL4A2,MAG,COL4A2_MAG,COL4A2 - MAG
COL4A2,ITGA3,COL4A2_ITGA3,COL4A2 - ITGA3
COL4A2,TNFRSF10A,COL4A2_TNFRSF10A,COL4A2 - TNFRSF10A
COL4A2,ITGA10,COL4A2_ITGA10,COL4A2 - ITGA10
COL6A1,CD44,COL6A1_CD44,COL6A1 - CD44
COL6A1,ITGB3,COL6A1_ITGB3,COL6A1 - ITGB3
COL6A1,ITGAV,COL6A1_ITGAV,COL6A1 - ITGAV
COL6A1,CD93,COL6A1_CD93,COL6A1 - CD93
COL6A1,CD47,COL6A1_CD47,COL6A1 - CD47
DLL1,ITGB1,DLL1_ITGB1,DLL1 - ITGB1
DLL1,ITGAV,DLL1_ITGAV,DLL1 - ITGAV
THBS2,LRP2,THBS2_LRP2,THBS2 - LRP2
THBS2,LRP1,THBS2_LRP1,THBS2 - LRP1
THBS2,ITGAV,THBS2_ITGAV,THBS2 - ITGAV
THBS2,ITGA2,THBS2_ITGA2,THBS2 - ITGA2
CFH,LRP2,CFH_LRP2,CFH - LRP2
CFH,ITGB1,CFH_ITGB1,CFH - ITGB1
CFH,LRP1,CFH_LRP1,CFH - LRP1
CFH,ITGB3,CFH_ITGB3,CFH - ITGB3
CFH,ITGAV,CFH_ITGAV,CFH - ITGAV
CFH,ITGA1,CFH_ITGA1,CFH - ITGA1
CFH,ITGA2,CFH_ITGA2,CFH - ITGA2
CFH,CD93,CFH_CD93,CFH - CD93
ADAM12,ITGB3,ADAM12_ITGB3,ADAM12 - ITGB3
ADAM12,ITGAV,ADAM12_ITGAV,ADAM12 - ITGAV
L1CAM,CD44,L1CAM_CD44,L1CAM - CD44
L1CAM,LRP2,L1CAM_LRP2,L1CAM - LRP2
L1CAM,ITGB1,L1CAM_ITGB1,L1CAM - ITGB1
L1CAM,LRP1,L1CAM_LRP1,L1CAM - LRP1
L1CAM,ITGB3,L1CAM_ITGB3,L1CAM - ITGB3
L1CAM,ITGA2,L1CAM_ITGA2,L1CAM - ITGA2
COL11A1,ITGB5,COL11A1_ITGB5,COL11A1 - ITGB5
COL11A1,CD44,COL11A1_CD44,COL11A1 - CD44
COL11A1,COL13A1,COL11A1_COL13A1,COL11A1 - COL13A1
COL11A1,ITGB3,COL11A1_ITGB3,COL11A1 - ITGB3
COL11A1,ITGAV,COL11A1_ITGAV,COL11A1 - ITGAV
COL11A1,ITGB8,COL11A1_ITGB8,COL11A1 - ITGB8
COL11A1,CD36,COL11A1_CD36,COL11A1 - CD36
COL11A1,ITGA1,COL11A1_ITGA1,COL11A1 - ITGA1
COL11A1,ITGA5,COL11A1_ITGA5,COL11A1 - ITGA5
COL11A1,CD93,COL11A1_CD93,COL11A1 - CD93
COL11A1,FLT4,COL11A1_FLT4,COL11A1 - FLT4
COL11A1,DDR2,COL11A1_DDR2,COL11A1 - DDR2
COL11A1,ITGA11,COL11A1_ITGA11,COL11A1 - ITGA11
COL11A1,TMPRSS6,COL11A1_TMPRSS6,COL11A1 - TMPRSS6
COL11A1,CD47,COL11A1_CD47,COL11A1 - CD47
COL11A1,ITGA2B,COL11A1_ITGA2B,COL11A1 - ITGA2B
COL11A1,SDC3,COL11A1_SDC3,COL11A1 - SDC3
COL11A1,BCAM,COL11A1_BCAM,COL11A1 - BCAM
COL11A1,GPC4,COL11A1_GPC4,COL11A1 - GPC4
COL11A1,ADGRB2,COL11A1_ADGRB2,COL11A1 - ADGRB2
COL11A1,ADGRL2,COL11A1_ADGRL2,COL11A1 - ADGRL2
COL11A1,ADGRL1,COL11A1_ADGRL1,COL11A1 - ADGRL1
COL11A1,MAG,COL11A1_MAG,COL11A1 - MAG
COL11A1,ITGA3,COL11A1_ITGA3,COL11A1 - ITGA3
COL11A1,ITGB4,COL11A1_ITGB4,COL11A1 - ITGB4
COL11A1,TNFRSF10A,COL11A1_TNFRSF10A,COL11A1 - TNFRSF10A
COL11A1,ITGA10,COL11A1_ITGA10,COL11A1 - ITGA10
COL11A1,SLC4A11,COL11A1_SLC4A11,COL11A1 - SLC4A11
GNAS,ITGB1,GNAS_ITGB1,GNAS - ITGB1
COL5A1,ITGB5,COL5A1_ITGB5,COL5A1 - ITGB5
COL5A1,CD44,COL5A1_CD44,COL5A1 - CD44
COL5A1,COL13A1,COL5A1_COL13A1,COL5A1 - COL13A1
COL5A1,ITGB3,COL5A1_ITGB3,COL5A1 - ITGB3
COL5A1,ITGAV,COL5A1_ITGAV,COL5A1 - ITGAV
COL5A1,ITGB8,COL5A1_ITGB8,COL5A1 - ITGB8
COL5A1,CD36,COL5A1_CD36,COL5A1 - CD36
COL5A1,ITGA2,COL5A1_ITGA2,COL5A1 - ITGA2
COL5A1,ITGA5,COL5A1_ITGA5,COL5A1 - ITGA5
COL5A1,CD93,COL5A1_CD93,COL5A1 - CD93
COL5A1,FLT4,COL5A1_FLT4,COL5A1 - FLT4
COL5A1,DDR2,COL5A1_DDR2,COL5A1 - DDR2
COL5A1,ITGA11,COL5A1_ITGA11,COL5A1 - ITGA11
COL5A1,TMPRSS6,COL5A1_TMPRSS6,COL5A1 - TMPRSS6
COL5A1,DDR1,COL5A1_DDR1,COL5A1 - DDR1
COL5A1,CD47,COL5A1_CD47,COL5A1 - CD47
COL5A1,ITGA2B,COL5A1_ITGA2B,COL5A1 - ITGA2B
COL5A1,BCAM,COL5A1_BCAM,COL5A1 - BCAM
COL5A1,GPC4,COL5A1_GPC4,COL5A1 - GPC4
COL5A1,ADGRB2,COL5A1_ADGRB2,COL5A1 - ADGRB2
COL5A1,ADGRL2,COL5A1_ADGRL2,COL5A1 - ADGRL2
COL5A1,ADGRL1,COL5A1_ADGRL1,COL5A1 - ADGRL1
COL5A1,MAG,COL5A1_MAG,COL5A1 - MAG
COL5A1,ITGA3,COL5A1_ITGA3,COL5A1 - ITGA3
COL5A1,ITGB4,COL5A1_ITGB4,COL5A1 - ITGB4
COL5A1,TNFRSF10A,COL5A1_TNFRSF10A,COL5A1 - TNFRSF10A
COL5A1,ITGA10,COL5A1_ITGA10,COL5A1 - ITGA10
COL5A1,SLC4A11,COL5A1_SLC4A11,COL5A1 - SLC4A11
CEL,LRP2,CEL_LRP2,CEL - LRP2
CEL,ITGB1,CEL_ITGB1,CEL - ITGB1
CEL,ITGB3,CEL_ITGB3,CEL - ITGB3
CEL,ITGAV,CEL_ITGAV,CEL - ITGAV
CEL,ITGA2,CEL_ITGA2,CEL - ITGA2
CEL,CD93,CEL_CD93,CEL - CD93
SFTPD,ITGB1,SFTPD_ITGB1,SFTPD - ITGB1
MMP9,ITGB1,MMP9_ITGB1,MMP9 - ITGB1
SPTAN1,LRP1,SPTAN1_LRP1,SPTAN1 - LRP1
SPTAN1,LDLR,SPTAN1_LDLR,SPTAN1 - LDLR
SPTAN1,VLDLR,SPTAN1_VLDLR,SPTAN1 - VLDLR
SPTAN1,OLR1,SPTAN1_OLR1,SPTAN1 - OLR1
SPTAN1,MTTP,SPTAN1_MTTP,SPTAN1 - MTTP
SPTAN1,LSR,SPTAN1_LSR,SPTAN1 - LSR
SPTAN1,TLR6,SPTAN1_TLR6,SPTAN1 - TLR6
SPTAN1,TLR4,SPTAN1_TLR4,SPTAN1 - TLR4
SPTAN1,LRP8,SPTAN1_LRP8,SPTAN1 - LRP8
COL9A2,ITGB5,COL9A2_ITGB5,COL9A2 - ITGB5
COL9A2,CD44,COL9A2_CD44,COL9A2 - CD44
COL9A2,ITGB3,COL9A2_ITGB3,COL9A2 - ITGB3
COL9A2,ITGAV,COL9A2_ITGAV,COL9A2 - ITGAV
COL9A2,ITGB8,COL9A2_ITGB8,COL9A2 - ITGB8
COL9A2,CD36,COL9A2_CD36,COL9A2 - CD36
COL9A2,ITGA1,COL9A2_ITGA1,COL9A2 - ITGA1
COL9A2,ITGA2,COL9A2_ITGA2,COL9A2 - ITGA2
COL9A2,ITGA5,COL9A2_ITGA5,COL9A2 - ITGA5
COL9A2,CD93,COL9A2_CD93,COL9A2 - CD93
COL9A2,FLT4,COL9A2_FLT4,COL9A2 - FLT4
COL9A2,DDR2,COL9A2_DDR2,COL9A2 - DDR2
COL9A2,ITGA11,COL9A2_ITGA11,COL9A2 - ITGA11
COL9A2,DDR1,COL9A2_DDR1,COL9A2 - DDR1
COL9A2,CD47,COL9A2_CD47,COL9A2 - CD47
COL9A2,ITGA2B,COL9A2_ITGA2B,COL9A2 - ITGA2B
COL9A2,SDC3,COL9A2_SDC3,COL9A2 - SDC3
COL9A2,GPC4,COL9A2_GPC4,COL9A2 - GPC4
COL9A2,ADGRB2,COL9A2_ADGRB2,COL9A2 - ADGRB2
COL9A2,ADGRL2,COL9A2_ADGRL2,COL9A2 - ADGRL2
COL9A2,ITGA3,COL9A2_ITGA3,COL9A2 - ITGA3
COL9A2,TNFRSF10A,COL9A2_TNFRSF10A,COL9A2 - TNFRSF10A
COL9A2,ITGA10,COL9A2_ITGA10,COL9A2 - ITGA10
COL9A2,SLC4A11,COL9A2_SLC4A11,COL9A2 - SLC4A11
